value,segments,language,borrowing_score
anak sungai,"['a', 'n', 'a', 'k', '+', 's', 'u', 'ŋ', 'aɪ']",Indonesian,0.0
kali,"['k', 'a', 'l', 'i']",Indonesian,1.0
pusaran air,"['p', 'u', 's', 'a', 'r', 'a', 'n', '+', 'a', 'i', 'r']",Indonesian,0.0
mata air,"['m', 'a', 't', 'a', '+', 'a', 'i', 'r']",Indonesian,0.0
sumur,"['s', 'u', 'm', 'u', 'r']",Indonesian,0.0
perigi,"['p', 'e', 'r', 'i', 'g', 'i']",Indonesian,0.0
rawa,"['r', 'a', 'w', 'a']",Indonesian,0.5
paya,"['p', 'a', 'j', 'a']",Indonesian,0.0
air terjun,"['a', 'i', 'r', '+', 't', 'e', 'r', 'dʒ', 'u', 'n']",Indonesian,0.0
hutan,"['h', 'u', 't', 'a', 'n']",Indonesian,0.0
rimba,"['r', 'i', 'm', 'b', 'a']",Indonesian,0.0
wana,"['w', 'a', 'n', 'a']",Indonesian,1.0
kayu,"['k', 'a', 'j', 'u']",Indonesian,0.0
batu,"['b', 'a', 't', 'u']",Indonesian,0.0
séla,"['s', 'é/e', 'l', 'a']",Indonesian,1.0
gempa (bumi/tektonik),"['g', 'e', 'm', 'p', 'a']",Indonesian,1.0
lindu,"['l', 'i', 'n', 'd', 'u']",Indonesian,1.0
langit,"['l', 'a', 'ŋ', 'i', 't']",Indonesian,0.0
angkasa,"['a', 'ŋ', 'k', 'a', 's', 'a']",Indonesian,1.0
cakrawala,"['tʃ', 'a', 'k', 'r', 'a', 'w', 'a', 'l', 'a']",Indonesian,1.0
dirgantara,"['d', 'i', 'r', 'g', 'a', 'n', 't', 'a', 'r', 'a']",Indonesian,1.0
"matahari, mentari","['m', 'a', 't', 'a', 'h', 'a', 'r', 'i']",Indonesian,0.0
surya,"['s', 'u', 'r', 'j', 'a']",Indonesian,1.0
bulan,"['b', 'u', 'l', 'a', 'n']",Indonesian,0.0
rembulan,"['r', 'e', 'm', 'b', 'u', 'l', 'a', 'n']",Indonesian,1.0
candra,"['tʃ', 'a', 'n', 'd', 'r', 'a']",Indonesian,1.0
bintang,"['b', 'i', 'n', 't', 'a', 'ŋ']",Indonesian,0.0
kartika,"['k', 'a', 'r', 't', 'i', 'k', 'a']",Indonesian,1.0
kilat,"['k', 'i', 'l', 'a', 't']",Indonesian,0.0
guntur,"['g', 'u', 'n', 't', 'u', 'r']",Indonesian,0.5
guruh,"['g', 'u', 'r', 'u', 'h']",Indonesian,0.0
"glédék, gelédék","['g', 'l', 'é/e', 'd', 'é/e', 'ʔ']",Indonesian,1.0
petir,"['p', 'e', 't', 'i', 'r']",Indonesian,0.0
halilintar,"['h', 'a', 'l', 'i', 'l', 'i', 'n', 't', 'a', 'r']",Indonesian,0.0
badai,"['b', 'a', 'd', 'aɪ']",Indonesian,1.0
ribut,"['r', 'i', 'b', 'u', 't']",Indonesian,0.0
pelangi,"['p', 'e', 'l', 'a', 'ŋ', 'i']",Indonesian,0.25
bianglala,"['b', 'i', 'a', 'ŋ', 'l', 'a', 'l', 'a']",Indonesian,1.0
cahaya,"['tʃ', 'a', 'h', 'a', 'j', 'a']",Indonesian,1.0
sinar,"['s', 'i', 'n', 'a', 'r']",Indonesian,0.0
kegelapan,"['k', 'e', 'g', 'e', 'l', 'a', 'p', 'a', 'n']",Indonesian,0.0
kekelaman,"['k', 'e', 'k', 'e', 'l', 'a', 'm', 'a', 'n']",Indonesian,0.0
kegelitaan,"['k', 'e', 'g', 'e', 'l', 'i', 't', 'aː', 'n']",Indonesian,0.0
bayangan,"['b', 'a', 'j', 'a', 'ŋ', 'a', 'n']",Indonesian,0.0
bayang-bayang,"['b', 'a', 'j', 'a', 'ŋ', '+', 'b', 'a', 'j', 'a', 'ŋ']",Indonesian,0.0
naung,"['n', 'a', 'u', 'ŋ']",Indonesian,0.0
embun,"['e', 'm', 'b', 'u', 'n']",Indonesian,0.0
ibun,"['i', 'b', 'u', 'n']",Indonesian,1.0
udara,"['u', 'd', 'a', 'r', 'a']",Indonesian,1.0
angin,"['a', 'ŋ', 'i', 'n']",Indonesian,0.0
hawa,"['h', 'a', 'w', 'a']",Indonesian,1.0
angin,"['a', 'ŋ', 'i', 'n']",Indonesian,0.0
bayu,"['b', 'a', 'j', 'u']",Indonesian,1.0
pawana,"['p', 'a', 'w', 'a', 'n', 'a']",Indonesian,1.0
awan,"['a', 'w', 'a', 'n']",Indonesian,0.0
méga,"['m', 'é/e', 'g', 'a']",Indonesian,1.0
kabut,"['k', 'a', 'b', 'u', 't']",Indonesian,0.0
halimun,"['h', 'a', 'l', 'i', 'm', 'u', 'n']",Indonesian,1.0
hujan,"['h', 'u', 'dʒ', 'a', 'n']",Indonesian,0.0
salju,"['s', 'a', 'l', 'dʒ', 'u']",Indonesian,1.0
és,"['é/e', 's']",Indonesian,1.0
cuaca,"['tʃ', 'u', 'a', 'tʃ', 'a']",Indonesian,1.0
udara,"['u', 'd', 'a', 'r', 'a']",Indonesian,1.0
hawa,"['h', 'a', 'w', 'a']",Indonesian,1.0
pawaka,"['p', 'a', 'w', 'a', 'k', 'a']",Indonesian,1.0
api,"['a', 'p', 'i']",Indonesian,0.0
lidah api,"['l', 'i', 'd', 'a', 'h', '+', 'a', 'p', 'i']",Indonesian,0.0
nyala (api),"['ɲ', 'a', 'l', 'a', '+', 'a', 'p', 'i']",Indonesian,0.0
asap,"['a', 's', 'a', 'p']",Indonesian,0.0
abu,"['a', 'b', 'u']",Indonesian,0.0
bara,"['b', 'a', 'r', 'a']",Indonesian,0.0
membakar,"['m', 'e', 'm', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0
terbakar,"['t', 'e', 'r', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0
menyalakan,"['m', 'e', 'ɲ', 'a', 'l', 'a', 'k', 'a', 'n']",Indonesian,0.0
"menyulut, menyulutkan","['m', 'e', 'ɲ', 'u', 'l', 'u', 't']",Indonesian,0.75
memadamkan,"['m', 'e', 'm', 'a', 'd', 'a', 'm', 'k', 'a', 'n']",Indonesian,0.0
korék api,"['k', 'o', 'r', 'é/e', 'k', '+', 'a', 'p', 'i']",Indonesian,0.0
kayu bakar,"['k', 'a', 'j', 'u', '+', 'b', 'a', 'k', 'a', 'r']",Indonesian,0.0
arang,"['a', 'r', 'a', 'ŋ']",Indonesian,0.5
orang,"['o', 'r', 'a', 'ŋ']",Indonesian,0.0
manusia,"['m', 'a', 'n', 'u', 's', 'i', 'a']",Indonesian,0.75
insan,"['i', 'n', 's', 'a', 'n']",Indonesian,1.0
"laki-laki, lelaki","['l', 'a', 'k', 'i', '+', 'l', 'a', 'k', 'i']",Indonesian,0.0
pria,"['p', 'r', 'i', 'a']",Indonesian,1.0
cowok,"['tʃ', 'o', 'w', 'o', 'ʔ']",Indonesian,0.0
perempuan,"['p', 'e', 'r', 'e', 'm', 'p', 'u', 'a', 'n']",Indonesian,0.0
wanita,"['w', 'a', 'n', 'i', 't', 'a']",Indonesian,1.0
céwék,"['tʃ', 'é/e', 'w', 'é/e', 'ʔ']",Indonesian,0.5
"laki-laki, lelaki","['l', 'a', 'k', 'i', '+', 'l', 'a', 'k', 'i']",Indonesian,0.0
pria,"['p', 'r', 'i', 'a']",Indonesian,1.0
perempuan,"['p', 'e', 'r', 'e', 'm', 'p', 'u', 'a', 'n']",Indonesian,0.0
wanita,"['w', 'a', 'n', 'i', 't', 'a']",Indonesian,1.0
"putra, putera","['p', 'u', 't', 'r', 'a']",Indonesian,1.0
anak muda,"['a', 'n', 'a', 'k', '+', 'm', 'u', 'd', 'a']",Indonesian,0.0
teruna,"['t', 'e', 'r', 'u', 'n', 'a']",Indonesian,1.0
pemuda,"['p', 'e', 'm', 'u', 'd', 'a']",Indonesian,0.0
gadis,"['g', 'a', 'd', 'i', 's']",Indonesian,0.75
"putri, puteri","['p', 'u', 't', 'r', 'i']",Indonesian,1.0
dara,"['d', 'a', 'r', 'a']",Indonesian,0.25
gadis,"['g', 'a', 'd', 'i', 's']",Indonesian,0.75
anak,"['a', 'n', 'a', 'ʔ']",Indonesian,0.0
bocah,"['b', 'o', 'tʃ', 'a', 'h']",Indonesian,1.0
bayi,"['b', 'a', 'j', 'i']",Indonesian,1.0
suami,"['s', 'u', 'a', 'm', 'i']",Indonesian,1.0
laki,"['l', 'a', 'k', 'i']",Indonesian,0.0
istri,"['i', 's', 't', 'r', 'i']",Indonesian,1.0
bini,"['b', 'i', 'n', 'i']",Indonesian,0.0
mengawini,"['m', 'e', 'ŋ', 'a', 'w', 'i', 'n', 'i']",Indonesian,0.0
menikahi,"['m', 'e', 'n', 'i', 'k', 'a', 'h', 'i']",Indonesian,0.0
pernikahan,"['p', 'e', 'r', 'n', 'i', 'k', 'a', 'h', 'a', 'n']",Indonesian,0.0
perkawinan,"['p', 'e', 'r', 'k', 'a', 'w', 'i', 'n', 'a', 'n']",Indonesian,0.0
perceraian,"['p', 'e', 'r', 'tʃ', 'e', 'r', 'a', 'i', 'a', 'n']",Indonesian,0.0
talak,"['t', 'a', 'l', 'a', 'ʔ']",Indonesian,1.0
"bapa, bapak","['b', 'a', 'p', 'a']",Indonesian,0.75
ayah,"['a', 'j', 'a', 'h']",Indonesian,0.5
"papa, papi","['p', 'a', 'p', 'a']",Indonesian,1.0
ibu,"['i', 'b', 'u']",Indonesian,0.75
"mak, emak","['m', 'a', 'ʔ']",Indonesian,0.0
"bunda, ibunda","['b', 'u', 'n', 'd', 'a']",Indonesian,0.0
"induk, indung","['i', 'n', 'd', 'u', 'ʔ']",Indonesian,0.0
"mama, mami","['m', 'a', 'm', 'a']",Indonesian,1.0
orang tua,"['o', 'r', 'a', 'ŋ', '+', 't', 'u', 'a']",Indonesian,0.0
"putra, putera","['p', 'u', 't', 'r', 'a']",Indonesian,1.0
"putri, puteri","['p', 'u', 't', 'r', 'i']",Indonesian,1.0
(ikan) lumba-lumba,"['i', 'k', 'a', 'n', '+', 'l', 'u', 'm', 'b', 'a', '+', 'l', 'u', 'm', 'b', 'a']",Indonesian,0.0
anak,"['a', 'n', 'a', 'ʔ']",Indonesian,0.0
abang,"['a', 'b', 'a', 'ŋ']",Indonesian,0.5
saudara (kandung),"['s', 'a', 'u', 'd', 'a', 'r', 'a', '+', 'k', 'a', 'n', 'd', 'u', 'ŋ']",Indonesian,0.0
kembar,"['k', 'e', 'm', 'b', 'a', 'r']",Indonesian,0.25
kakék,"['k', 'a', 'k', 'é/e', 'ʔ']",Indonesian,0.5
opa,"['o', 'p', 'a']",Indonesian,1.0
nénék,"['n', 'é/e', 'n', 'é/e', 'ʔ']",Indonesian,0.5
oma,"['o', 'm', 'a']",Indonesian,1.0
paman,"['p', 'a', 'm', 'a', 'n']",Indonesian,1.0
"om, oom","['o', 'm']",Indonesian,1.0
bibi,"['b', 'i', 'b', 'i']",Indonesian,0.75
tante,"['t', 'a', 'n', 't', 'e']",Indonesian,1.0
sepupu,"['s', 'e', 'p', 'u', 'p', 'u']",Indonesian,0.0
nénék-moyang,"['n', 'é/e', 'n', 'é/e', 'k', '+', 'm', 'o', 'j', 'a', 'ŋ']",Indonesian,0.0
leluhur,"['l', 'e', 'l', 'u', 'h', 'u', 'r']",Indonesian,1.0
keturunan,"['k', 'e', 't', 'u', 'r', 'u', 'n', 'a', 'n']",Indonesian,0.0
anak-cucu,"['a', 'n', 'a', 'k', '+', 'tʃ', 'u', 'tʃ', 'u']",Indonesian,0.0
bapak tiri,"['b', 'a', 'p', 'a', 'k', '+', 't', 'i', 'r', 'i']",Indonesian,0.0
ayah tiri,"['a', 'j', 'a', 'h', '+', 't', 'i', 'r', 'i']",Indonesian,0.0
ibu tiri,"['i', 'b', 'u', '+', 't', 'i', 'r', 'i']",Indonesian,0.0
mak/emak tiri,"['m', 'a', 'k', '+', 't', 'i', 'r', 'i']",Indonesian,0.0
yatim-piatu,"['j', 'a', 't', 'i', 'm', '+', 'p', 'i', 'a', 't', 'u']",Indonesian,0.0
janda,"['dʒ', 'a', 'n', 'd', 'a']",Indonesian,0.75
duda,"['d', 'u', 'd', 'a']",Indonesian,1.0
famili,"['f', 'a', 'm', 'i', 'l', 'i']",Indonesian,1.0
saudara,"['s', 'a', 'u', 'd', 'a', 'r', 'a']",Indonesian,1.0
sanak,"['s', 'a', 'n', 'a', 'ʔ']",Indonesian,0.0
kerabat,"['k', 'e', 'r', 'a', 'b', 'a', 't']",Indonesian,1.0
keluarga,"['k', 'e', 'l', 'u', 'a', 'r', 'g', 'a']",Indonesian,0.75
aku,"['a', 'k', 'u']",Indonesian,0.0
saya,"['s', 'a', 'j', 'a']",Indonesian,0.75
kamu,"['k', 'a', 'm', 'u']",Indonesian,0.0
"kau, engkau","['k', 'aʊ']",Indonesian,0.0
dia,"['d', 'i', 'a']",Indonesian,0.0
ia,"['i', 'a']",Indonesian,0.0
beliau,"['b', 'e', 'l', 'i', 'aʊ']",Indonesian,0.0
kita,"['k', 'i', 't', 'a']",Indonesian,0.0
kami,"['k', 'a', 'm', 'i']",Indonesian,0.0
kalian,"['k', 'a', 'l', 'i', 'a', 'n']",Indonesian,1.0
meréka,"['m', 'e', 'r', 'é/e', 'k', 'a']",Indonesian,1.0
binatang,"['b', 'i', 'n', 'a', 't', 'a', 'ŋ']",Indonesian,0.75
héwan,"['h', 'é/e', 'w', 'a', 'n']",Indonesian,1.0
jantan,"['dʒ', 'a', 'n', 't', 'a', 'n']",Indonesian,0.0
betina,"['b', 'e', 't', 'i', 'n', 'a']",Indonesian,0.0
ternak,"['t', 'e', 'r', 'n', 'a', 'ʔ']",Indonesian,0.0
gembala,"['g', 'e', 'm', 'b', 'a', 'l', 'a']",Indonesian,0.75
kandang,"['k', 'a', 'n', 'd', 'a', 'ŋ']",Indonesian,0.0
sapi,"['s', 'a', 'p', 'i']",Indonesian,1.0
lembu,"['l', 'e', 'm', 'b', 'u']",Indonesian,0.0
domba,"['d', 'o', 'm', 'b', 'a']",Indonesian,1.0
biri-biri,"['b', 'i', 'r', 'i', '+', 'b', 'i', 'r', 'i']",Indonesian,0.5
babi hutan,"['b', 'a', 'b', 'i', '+', 'h', 'u', 't', 'a', 'n']",Indonesian,0.0
céléng,"['tʃ', 'é/e', 'l', 'é/e', 'ŋ']",Indonesian,1.0
babi,"['b', 'a', 'b', 'i']",Indonesian,0.0
kambing,"['k', 'a', 'm', 'b', 'i', 'ŋ']",Indonesian,0.0
kuda,"['k', 'u', 'd', 'a']",Indonesian,1.0
keledai,"['k', 'e', 'l', 'e', 'd', 'aɪ']",Indonesian,1.0
bagal,"['b', 'a', 'g', 'a', 'l']",Indonesian,1.0
unggas,"['u', 'ŋ', 'g', 'a', 's']",Indonesian,0.25
(ayam) jago,"['a', 'j', 'a', 'm', '+', 'dʒ', 'a', 'g', 'o']",Indonesian,1.0
ayam,"['a', 'j', 'a', 'm']",Indonesian,0.0
angsa,"['a', 'ŋ', 's', 'a']",Indonesian,1.0
bébék,"['b', 'é/e', 'b', 'é/e', 'ʔ']",Indonesian,1.0
itik,"['i', 't', 'i', 'ʔ']",Indonesian,0.0
sarang,"['s', 'a', 'r', 'a', 'ŋ']",Indonesian,0.0
burung,"['b', 'u', 'r', 'u', 'ŋ']",Indonesian,0.0
camar (laut),"['tʃ', 'a', 'm', 'a', 'r', '+', 'l', 'a', 'u', 't']",Indonesian,0.0
bangau,"['b', 'a', 'ŋ', 'aʊ']",Indonesian,0.0
rajawali,"['r', 'a', 'dʒ', 'a', 'w', 'a', 'l', 'i']",Indonesian,1.0
elang,"['e', 'l', 'a', 'ŋ']",Indonesian,0.0
hering,"['h', 'e', 'r', 'i', 'ŋ']",Indonesian,0.0
kelelawar,"['k', 'e', 'l', 'e', 'l', 'a', 'w', 'a', 'r']",Indonesian,0.25
kalong,"['k', 'a', 'l', 'o', 'ŋ']",Indonesian,1.0
(burung) nuri,"['b', 'u', 'r', 'u', 'ŋ', '+', 'n', 'u', 'r', 'i']",Indonesian,0.75
(burung) bétét,"['b', 'u', 'r', 'u', 'ŋ', '+', 'b', 'é/e', 't', 'é/e', 't']",Indonesian,1.0
(burung) gagak,"['b', 'u', 'r', 'u', 'ŋ', '+', 'g', 'a', 'g', 'a', 'ʔ']",Indonesian,0.0
(burung) merpati,"['b', 'u', 'r', 'u', 'ŋ', '+', 'm', 'e', 'r', 'p', 'a', 't', 'i']",Indonesian,1.0
burung hantu,"['b', 'u', 'r', 'u', 'ŋ', '+', 'h', 'a', 'n', 't', 'u']",Indonesian,0.0
anjing,"['a', 'ɲ', 'i', 'ŋ']",Indonesian,0.5
kelinci,"['k', 'e', 'l', 'i', 'ɲ', 'i']",Indonesian,1.0
terwélu,"['t', 'e', 'r', 'w', 'é/e', 'l', 'u']",Indonesian,1.0
arnab,"['a', 'r', 'n', 'a', 'b']",Indonesian,1.0
kucing,"['k', 'u', 'tʃ', 'i', 'ŋ']",Indonesian,0.0
oposum,"['o', 'p', 'o', 's', 'u', 'm']",Indonesian,1.0
tikus,"['t', 'i', 'k', 'u', 's']",Indonesian,0.0
ikan,"['i', 'k', 'a', 'n']",Indonesian,0.0
sirip,"['s', 'i', 'r', 'i', 'p']",Indonesian,0.0
sisik,"['s', 'i', 's', 'i', 'ʔ']",Indonesian,0.0
insang,"['i', 'n', 's', 'a', 'ŋ']",Indonesian,0.0
kerang,"['k', 'e', 'r', 'a', 'ŋ']",Indonesian,0.0
(ikan) hiu,"['i', 'k', 'a', 'n', '+', 'h', 'i', 'u']",Indonesian,0.0
(ikan) paus,"['i', 'k', 'a', 'n', '+', 'p', 'a', 'u', 's']",Indonesian,0.0
(ikan) pari,"['i', 'k', 'a', 'n', '+', 'p', 'a', 'r', 'i']",Indonesian,0.0
belut,"['b', 'e', 'l', 'u', 't']",Indonesian,0.0
lindung,"['l', 'i', 'n', 'd', 'u', 'ŋ']",Indonesian,1.0
serigala,"['s', 'e', 'r', 'i', 'g', 'a', 'l', 'a']",Indonesian,1.0
singa,"['s', 'i', 'ŋ', 'a']",Indonesian,1.0
beruang,"['b', 'e', 'r', 'u', 'a', 'ŋ']",Indonesian,0.0
rubah,"['r', 'u', 'b', 'a', 'h']",Indonesian,1.0
rusa,"['r', 'u', 's', 'a']",Indonesian,0.0
kijang,"['k', 'i', 'dʒ', 'a', 'ŋ']",Indonesian,0.0
monyét,"['m', 'o', 'ɲ', 'é/e', 't']",Indonesian,1.0
gajah,"['g', 'a', 'dʒ', 'a', 'h']",Indonesian,1.0
"unta, onta","['u', 'n', 't', 'a']",Indonesian,1.0
serangga,"['s', 'e', 'r', 'a', 'ŋ', 'g', 'a']",Indonesian,0.5
tuma,"['t', 'u', 'm', 'a']",Indonesian,0.0
caplak,"['tʃ', 'a', 'p', 'l', 'a', 'ʔ']",Indonesian,1.0
lipan,"['l', 'i', 'p', 'a', 'n']",Indonesian,0.0
kalajengking,"['k', 'a', 'l', 'a', 'dʒ', 'e', 'ŋ', 'k', 'i', 'ŋ']",Indonesian,0.0
kecoa,"['k', 'e', 'tʃ', 'o', 'a']",Indonesian,1.0
semut,"['s', 'e', 'm', 'u', 't']",Indonesian,1.0
laba-laba,"['l', 'a', 'b', 'a', '+', 'l', 'a', 'b', 'a']",Indonesian,0.5
lebah,"['l', 'e', 'b', 'a', 'h']",Indonesian,0.0
tawon,"['t', 'a', 'w', 'o', 'n']",Indonesian,1.0
lilin,"['l', 'i', 'l', 'i', 'n']",Indonesian,0.0
tawon,"['t', 'a', 'w', 'o', 'n']",Indonesian,1.0
penyengat,"['p', 'e', 'ɲ', 'e', 'ŋ', 'a', 't']",Indonesian,0.0
tabuhan,"['t', 'a', 'b', 'u', 'h', 'a', 'n']",Indonesian,0.25
lalat,"['l', 'a', 'l', 'a', 't']",Indonesian,0.0
agas,"['a', 'g', 'a', 's']",Indonesian,0.0
nyamuk,"['ɲ', 'a', 'm', 'u', 'ʔ']",Indonesian,0.0
cacing,"['tʃ', 'a', 'tʃ', 'i', 'ŋ']",Indonesian,0.0
ular,"['u', 'l', 'a', 'r']",Indonesian,0.0
kunang-kunang,"['k', 'u', 'n', 'a', 'ŋ', '+', 'k', 'u', 'n', 'a', 'ŋ']",Indonesian,0.0
kupu-kupu,"['k', 'u', 'p', 'u', '+', 'k', 'u', 'p', 'u']",Indonesian,0.0
rama-rama,"['r', 'a', 'm', 'a', '+', 'r', 'a', 'm', 'a']",Indonesian,0.0
belalang,"['b', 'e', 'l', 'a', 'l', 'a', 'ŋ']",Indonesian,0.0
siput,"['s', 'i', 'p', 'u', 't']",Indonesian,0.0
kéong,"['k', 'é/e', 'o', 'ŋ']",Indonesian,1.0
bekicot,"['b', 'e', 'k', 'i', 'tʃ', 'o', 't']",Indonesian,1.0
kodok,"['k', 'o', 'd', 'o', 'ʔ']",Indonesian,1.0
katak,"['k', 'a', 't', 'a', 'ʔ']",Indonesian,0.0
kadal,"['k', 'a', 'd', 'a', 'l']",Indonesian,1.0
cicak,"['tʃ', 'i', 'tʃ', 'a', 'ʔ']",Indonesian,0.0
buaya,"['b', 'u', 'a', 'j', 'a']",Indonesian,0.0
kura-kura,"['k', 'u', 'r', 'a', '+', 'k', 'u', 'r', 'a']",Indonesian,0.0
badan,"['b', 'a', 'd', 'a', 'n']",Indonesian,1.0
tubuh,"['t', 'u', 'b', 'u', 'h']",Indonesian,0.0
kulit,"['k', 'u', 'l', 'i', 't']",Indonesian,0.0
belulang,"['b', 'e', 'l', 'u', 'l', 'a', 'ŋ']",Indonesian,0.0
daging,"['d', 'a', 'g', 'i', 'ŋ']",Indonesian,0.5
rambut,"['r', 'a', 'm', 'b', 'u', 't']",Indonesian,0.5
jénggot,"['dʒ', 'é/e', 'ŋ', 'g', 'o', 't']",Indonesian,1.0
janggut,"['dʒ', 'a', 'ŋ', 'g', 'u', 't']",Indonesian,0.0
bréwok,"['b', 'r', 'é/e', 'w', 'o', 'ʔ']",Indonesian,1.0
bulu,"['b', 'u', 'l', 'u']",Indonesian,0.0
jambut,"['dʒ', 'a', 'm', 'b', 'u', 't']",Indonesian,1.0
ketombé,"['k', 'e', 't', 'o', 'm', 'b', 'é/e']",Indonesian,1.0
darah,"['d', 'a', 'r', 'a', 'h']",Indonesian,0.0
pembuluh (darah),"['p', 'e', 'm', 'b', 'u', 'l', 'u', 'h', '+', 'd', 'a', 'r', 'a', 'h']",Indonesian,0.0
urat,"['u', 'r', 'a', 't']",Indonesian,0.0
arteri,"['a', 'r', 't', 'e', 'r', 'i']",Indonesian,1.0
tulang,"['t', 'u', 'l', 'a', 'ŋ']",Indonesian,0.0
rusuk,"['r', 'u', 's', 'u', 'ʔ']",Indonesian,0.0
iga,"['i', 'g', 'a']",Indonesian,1.0
tanduk,"['t', 'a', 'n', 'd', 'u', 'ʔ']",Indonesian,0.0
ékor,"['é/e', 'k', 'o', 'r']",Indonesian,0.0
buntut,"['b', 'u', 'n', 't', 'u', 't']",Indonesian,0.75
punggung,"['p', 'u', 'ŋ', 'g', 'u', 'ŋ']",Indonesian,0.0
belakang,"['b', 'e', 'l', 'a', 'k', 'a', 'ŋ']",Indonesian,0.0
pinggang,"['p', 'i', 'ŋ', 'g', 'a', 'ŋ']",Indonesian,0.0
tulang belakang,"['t', 'u', 'l', 'a', 'ŋ', '+', 'b', 'e', 'l', 'a', 'k', 'a', 'ŋ']",Indonesian,0.0
kepala,"['k', 'e', 'p', 'a', 'l', 'a']",Indonesian,1.0
pelipis,"['p', 'e', 'l', 'i', 'p', 'i', 's']",Indonesian,0.0
tengkorak,"['t', 'e', 'ŋ', 'k', 'o', 'r', 'a', 'ʔ']",Indonesian,0.0
otak,"['o', 't', 'a', 'ʔ']",Indonesian,0.0
muka,"['m', 'u', 'k', 'a']",Indonesian,1.0
wajah,"['w', 'a', 'dʒ', 'a', 'h']",Indonesian,1.0
dahi,"['d', 'a', 'h', 'i']",Indonesian,0.0
